ts	phase	decision	why	evidence	result
2026-09-23T03:00:35Z	FUCHIKOMA-26	Hash the DELETE request before adding archive time	A retry must identify the same requested operation, while the archive time is a result of applying it	6706ff4; tests/label-replay.test.mjs	VERIFIED: local Worker test and typecheck pass
2026-09-23T03:03:39Z	FUCHIKOMA-28	Reject type changes for states used by issues and validate editable types	Issue lifecycle dates are written on issue state changes, so changing a used state type creates inconsistent records	22e5222; tests/state-type.test.mjs; tests/issue-queries.test.mjs	VERIFIED: local Worker tests and typecheck pass
2026-09-23T03:12:55Z	FUCHIKOMA-27	Validate parent visibility and ancestry inside the issue mutation transaction	The Worker is shared by HTTP and local sync; checking only when parent changes preserves normal edit behavior	3722c73; tests/issue-parent.test.mjs; tests/local-cli-parent.test.mjs	VERIFIED: local Worker API, normal CLI, local-first CLI, and typecheck pass
2026-09-23T03:30:44Z	FUCHIKOMA-29	Close only viewers who lose a newly private team and reset browser workspace caches on access changes	A post-change authorization filter hid the only event from revoked viewers; an access-specific close avoids private identifiers and preserves authorized sockets	Red then green tests/events.test.mjs and tests/e2e/team-access.spec.ts; /tmp/f29-astra.md; /tmp/f29-sol.md	VERIFIED: local Worker WebSocket and two-browser E2E pass; full suite pending
2026-09-23T03:54:11Z	FUCHIKOMA-29	Advance a workspace access generation before clearing caches and guard mutation callbacks	A delayed success or rollback can otherwise repopulate revoked issue and comment data after the reset	Review by gpt-6-astra and gpt-5.6-sol; tests/e2e/team-access.spec.ts delayed success and denial cases	VERIFIED: both real-browser race cases pass
2026-09-23T03:54:11Z	FUCHIKOMA-29	Close only the member whose explicit team access was reduced; keep unrelated member updates on normal invalidation	Resetting every browser on any member update unmounted authorized editors and discarded drafts	Review by gpt-6-astra and gpt-5.6-sol; tests/e2e/team-access.spec.ts owner draft case	VERIFIED: revoked member loses content while owner draft remains
2026-09-23T03:54:11Z	FUCHIKOMA-29	Compare visible team IDs on reconnect and reset only when the access set changed	A missed policy close while offline left stale private data during HTTP retry; unconditional reconnect reset would discard drafts after ordinary network loss	Review by gpt-5.6-terra; tests/e2e/reconnect.spec.ts	VERIFIED: missed revocation and normal reconnect browser tests pass
2026-09-23T03:59:05Z	FUCHIKOMA-29	Revised the first access-reset implementation after adversarial review	The first green E2E missed delayed mutation callbacks and reset unrelated members' drafts	/tmp/f29-review-race.mjs; d378681; tests/e2e/team-access.spec.ts	VERIFIED: real-browser delayed success and failure cases pass; unrelated owner draft persists
2026-09-23T03:59:05Z	final-verification	Ran the full local Worker, CLI, browser, and quality gates	Each change must be checked through public behavior and repository quality thresholds before release	/tmp/f29-check-release.log; /tmp/f29-e2e-release.log; /tmp/f29-quality-release.log	VERIFIED: 88 API/CLI tests, 37 browser E2E tests, format, lint, typecheck, build, and quality audit pass
2026-09-23T04:05:16Z	final-quality	Remove the unused editable-state schema export	Knip identified an API surface no caller needed	15172fc; .audit/verification/quality.log	VERIFIED: pnpm quality exits 0 with zero Knip issues
2026-09-23T04:05:16Z	final-verification	Retain release check logs in the repository audit trail	Reviewers need durable evidence for the final local Worker and browser checks	.audit/verification/check.log; .audit/verification/e2e.log; .audit/verification/quality.log	VERIFIED: 88 API/CLI and 37 browser tests pass
2026-09-23T04:12:31Z	ci	Require green GitHub Actions before production deployment	Production changes should follow an independent clean-environment check	https://github.com/kzmszk/linear_clone/actions/runs/35816681303	VERIFIED: check, hooks, and browser E2E succeeded
2026-09-23T04:12:31Z	release	Deploy the four fixes and close the four production tickets	The accepted fixes must reach the running app and be visible to the team	Cloudflare version f4c80cb9-cf54-4944-a6a8-936b2a979ff9; FUCHIKOMA-26 to FUCHIKOMA-29	VERIFIED: 100% of production traffic on new version; CLI read-back shows four completed issues and four completion comments
2026-09-23T04:13:08Z	FUCHIKOMA-29	Retain accepted review findings alongside the final tests	Earlier review notes and race scripts used temporary paths	.audit/review-findings.md; d378681; tests/e2e/team-access.spec.ts; tests/e2e/reconnect.spec.ts	VERIFIED: all three race and scope findings are addressed and covered by browser tests
